Timestamp,Ms. Subha Vasan       (Faculty of Personality Development Skills)                                                                                                                                                      ,Mrs. K Ramandevi         (Faculty of English)                                                                              ,Dr. R Sarvapalli       (Faculty of Electrical Science)                                                                                         ,Mr. S Ramanujam     (Faculty of Biology)                                                                           ,Mr. V Iyyer      (Faculty of Computer Networks)                                                                                        
2020/01/29 1:46:54 PM GMT+5:30,Great Teacher,Amazing Teacher,Stupendous ,Too good,Are re re re re re
2020/01/29 1:48:14 PM GMT+5:30,She is a very good teacher.,One of the best faculty I came across in my college.,He has a lot of knowledge about the subject but cannot reach very well.,I do not understand anything which he is teaching.,He is an average teacher and his classes are boring.
2020/01/29 1:56:29 PM GMT+5:30,Perfect for personality development. She has a ideal personality and teaches what's really needed in the real world..,Her grammar is on point. She knows how to propogate her own knowledge. She can't control the class perfectly,"The question levels are always high. Strict in class, but clears doubts many times.",Strict in answer checking but lenient on students.,Has a good knowledge on the subject. But a bit fast in pace.
2020/01/29 1:58:50 PM GMT+5:30,Really good teacher. Has a great personality herself and teaches with an unconventional but awesome style.,Has a good control on her skills but is very strict in conducting classes,Sometimes is unable to explain a few concepts clearly,Teaches really well but is unable control the class,Has his concepts clear and teaches in a practical manner
2020/01/29 2:01:51 PM GMT+5:30,Excellent,Excellent,Average,Outstanding,He is fantabulous extravaganza and laptop ka link to
2020/01/29 2:04:12 PM GMT+5:30,Very good ,Amazing,Superb,Fantastic skills,Highly knowledgeable
2020/01/29 2:13:57 PM GMT+5:30,Very kind and generous. ,Very helping ,Good knowledge about the Subject ,Good ,Helping and kind 
2020/01/29 2:32:35 PM GMT+5:30,Open and receptive to comments and suggestions. Always provide interesting case studies and group tasks which help to bring out the best of any personality.,Devotes a great amount of personal effort and interest in daily teaching activities.Develops new techniques to increase vocabulary.,One of the most informative faculties. Always ready to listen and support. Majority of research papers are related to instructional innovations in the field.,"Presents new material clearly and logically with Models, demonstrations and examples",Motivates students to solve the practical issues with logics.Uses questioning techniques to promote critical thinking 
2020/01/29 2:41:55 PM GMT+5:30,She is kind and pays well attention to children ,Good communication skills and connects well to students ,Sound knowledge and is always able to clear my doubts ,Great teacher and great friend at times ,Awesome
2020/01/29 3:16:23 PM GMT+5:30,She is wonderful! She teaches like a friend and helps teach how to act in the particular social situations ,"Wonderful teacher, brings new books for students to read and helps learn English in a new way",Wonderful teacher and has great teaching skills but sometimes gets strict on things which are not important. ,Has a vast knowledge of what she is teaching. Brings in new ideas and models to help understand things better.,Sir has a great deal of knowledge about networking but sometimes is unable to teach the topics properly
2020/01/29 3:19:13 PM GMT+5:30,Good,Average,Okayish,Best teacher,Amazing 
2020/01/29 4:13:33 PM GMT+5:30,Good,Very good,Could be better,Excellent ,Good
2020/01/29 4:16:00 PM GMT+5:30,Good,Good,Good,Very good,Very good
2020/01/29 4:25:18 PM GMT+5:30,Very good,Smart ,Decent,Teaches well,Punctual and accurate
2020/01/29 4:54:34 PM GMT+5:30,Very Good teacher.,Makes learning fun.,Whatta man!,Genius,The new age Mark Zuckerberg
2020/01/29 10:40:55 PM GMT+5:30,"Excellent sir, he is good in explaining","Excellent sir, he is good in explaining","Excellent sir, he is good in explaining","Excellent sir, he is good in explaining","Excellent sir, he is good in explaining"
2020/01/29 11:30:46 PM GMT+5:30,"Outstanding teaching, the way she interact with students is very impressive.",Very motivating teacher.,The way she explains complex problems is very helpful.,As I am engineering student my interaction with biology is negligible but the way she teaches is beyond science.,Very good
2020/01/29 11:41:30 PM GMT+5:30,"Thank you for your help as your department helped me a lot in my attitude and personality, but also please understand every student out there needs you, you can't just focus on some","There's a reason why you're in this department because your English speaking skills are flawless. But mam please smile, I've noticed that you're grave at times.","Teaching skills, 100% strictness also 100%.","As the name says itself, the legend who passed away long ago was expert in maths and you're the legen of biology. But sir don't be too strict on students who are trying their best in studies.",Sir I just want to praise about your knowledge which is flawless and one could only think of achieving it the only thing that lacks is ability to share it.
2020/01/29 11:49:44 PM GMT+5:30,Nice,Nicr,Nice,Nice,Nice
2020/01/30 1:35:41 AM GMT+5:30,Very nice faculty supportive and good ,Very nice faculty supportive and good ,Very nice faculty supportive and good ,Very nice faculty supportive and good ,Very nice faculty supportive and good 
2020/01/30 1:54:51 PM GMT+5:30,Good,Good,Good,Good,Good
2020/01/30 1:56:06 PM GMT+5:30,GREAT FACULTY,HIGHLY EXPERIENCED ,HIGHLY KNOWLEDGEABLE ,VERY PUNCTUAL AND WELL SPOKEN,EXCELLENT STYLE OF TEACHING
2020/01/30 1:56:59 PM GMT+5:30,She is a very good mentor and i have learnt a lot from her way of teaching.It is quiet helpful and easy for me to grassp everything thing she taught,Here literature skills are awesome and she very up to the mark kind of person. ,She has a thorough knowledge about her subject and she teaches everything with included proofs and logics.,He is a very good listener and explains everything very easily.,Has a huge amount of knowledge and always ready to share it with others.
